Mois,Région,Production éolienne (GWh),Production solaire (GWh)
2014-07,Bourgogne-Franche-Comté,20.975042,20.284772
2014-07,Nouvelle-Aquitaine,38.84,132.505775
2014-09,Centre-Val de Loire,73.098295,22.310862
2014-09,Auvergne-Rhône-Alpes,48.569949,68.369298
2014-10,Centre-Val de Loire,111.845331,14.058448
2014-10,Bourgogne-Franche-Comté,27.768461,13.940825
2014-10,Nouvelle-Aquitaine,61.544721,112.412405
2014-10,Provence-Alpes-Côte d'Azur,8.039207,79.535018
2014-11,Nouvelle-Aquitaine,89.600959,57.43668
2014-11,Auvergne-Rhône-Alpes,67.668836,25.238184
2014-12,Hauts-de-France,515.765969,2.103163
2014-12,Occitanie,270.941084,46.142228
2015-01,Île-de-France,4.955532,1.538583
2015-01,Bretagne,183.815529,5.778626
2015-01,Nouvelle-Aquitaine,97.89344,54.883397
2015-02,Bourgogne-Franche-Comté,61.487549,10.106593
2015-02,Pays de la Loire,131.711468,21.293921
2015-02,Nouvelle-Aquitaine,98.991539,87.469848
2015-03,Normandie,115.888059,9.23619
2015-03,Hauts-de-France,465.527514,10.090471
2015-04,Île-de-France,2.959761,8.214703
2015-04,Centre-Val de Loire,150.438215,25.493996
2015-04,Grand Est,346.223908,57.711456
2015-04,Auvergne-Rhône-Alpes,66.232188,81.747491
2015-05,Hauts-de-France,350.819572,15.635427
2015-05,Grand Est,346.789644,58.702913
2015-05,Nouvelle-Aquitaine,67.787067,194.102118
2015-05,Corse,1.408795,15.322196
2015-06,Bourgogne-Franche-Comté,34.702731,28.654517
2015-06,Bretagne,97.211879,27.226082
2015-07,Centre-Val de Loire,120.23546,30.405821
2015-07,Bretagne,89.599663,22.94697
2015-07,Provence-Alpes-Côte d'Azur,6.950381,149.471119
2015-08,Centre-Val de Loire,101.104905,27.348608
2015-08,Normandie,54.767716,13.87972
2015-08,Grand Est,293.339553,60.816506
2015-09,Nouvelle-Aquitaine,77.516437,177.688528
2015-10,Île-de-France,3.765193,4.23726
2015-10,Grand Est,300.307,27.091591
2015-10,Bretagne,110.750226,12.090076
2015-10,Provence-Alpes-Côte d'Azur,8.775841,82.287084
2015-11,Nouvelle-Aquitaine,88.493025,96.774554
2015-12,Bourgogne-Franche-Comté,87.44938,8.730708
2015-12,Grand Est,590.723369,16.16459
2015-12,Bretagne,250.18892,5.182113
2015-12,Corse,1.53729,7.965294
2016-01,Normandie,186.697038,3.419649
2016-01,Grand Est,729.902964,15.130482
2016-01,Nouvelle-Aquitaine,128.291777,75.084635
2016-01,Occitanie,187.14965,58.802617
2016-02,Centre-Val de Loire,275.350604,11.707917
2016-02,Bourgogne-Franche-Comté,111.04672,7.65619
2016-03,Normandie,125.351443,9.896874
2016-03,Nouvelle-Aquitaine,123.265315,193.0168
2016-04,Île-de-France,4.793005,7.529856
2016-04,Normandie,89.323408,13.005896
2016-04,Bretagne,117.263369,20.004214
2016-04,Occitanie,251.865179,173.256507
2016-05,Centre-Val de Loire,123.472528,26.388168
2016-05,Corse,3.477742,17.488332
2016-06,Île-de-France,2.831305,7.252504
2016-06,Normandie,56.701129,12.585468
2016-06,Auvergne-Rhône-Alpes,45.723221,94.172003
2016-06,Provence-Alpes-Côte d'Azur,6.84727,154.101043
2016-07,Centre-Val de Loire,86.923292,33.205444
2016-07,Grand Est,187.93171,65.959014
2016-07,Pays de la Loire,57.095422,57.164539
2016-07,Corse,1.827413,20.445734
2016-08,Centre-Val de Loire,96.034682,33.178528
2016-08,Hauts-de-France,315.998217,17.639021
2016-08,Occitanie,187.981662,232.521138
2016-09,Bourgogne-Franche-Comté,36.60767,22.409673
2016-09,Normandie,60.875939,10.928775
2016-09,Corse,1.363669,14.83154
2016-10,Pays de la Loire,93.985976,43.885278
